大類,次分類,目錄排序,穴組名稱,穴名,位置,針法,解析,圖片,理論與發揮,主治關鍵字,頁碼
總綱,,6,腹二針,內關,在前臂掌側，當曲澤與大陵的連線上，腕橫紋上2寸，掌長肌腱與橈 側腕屈肌腱之間。(附圖 22),仰掌取穴，用1.5寸毫針直刺1寸左右。強刺激，並囑患者深呼吸，同時揉摩腹部，留針30分鐘，每5分鐘運針1次，運針時反覆行強刺激提插手法，並輕揉腹部，仍囑患者深呼吸。,（1）內關穴為心包經絡穴，具有寧心安神、解鬱寬胸、舒暢氣機、疏肝理脾、和胃理氣、降逆止嘔、活血通絡等作用，可治療心血管病變、消化系統病變、精神病等，療效頗佳。 （2）心包經別走手少陽三焦經，從胸至腹依次聯絡三焦，故本穴能治療中下焦病變，臨床試驗表明，針刺內關穴能顯著提高機體的痛閾和溫覺閾，達到溫經止痛的效果，有較好的鎮靜止痛作用。臨床上常用本穴治療胸痛、脅痛、心痛、胃痛、腹痛、上肢疼痛、扁桃體炎、咽喉炎、頭痛、牙痛等，都有顯著的止痛效果。 （3）本穴深刺透達三焦經之外關，療效更好，蓋外關為三焦之絡穴，外關歷來常被用作配穴，能治療腹部病變。楊繼洲說：“三焦乃陽氣之父，包絡乃陰血之母。”內關透外關可氣血陰陽同調，療效較單獨針刺內關更好。,,此為臟腑別通及經絡循行組成的對針。心包絡與胃臟腑別通，故針刺內關能治療消化系統病變，若深刺透達三焦經之絡穴外關，則調理氣血的作用更佳。足三里為足陽明胃經的合穴，善於調理胃脾功能。胃經與大腸經相表裡，本穴亦善治腹部病變。兩穴合用，主治病證很多，治療腹部病變尤效。,腹二針,49
總綱,,6,腹二針,足三里,在小腿前外側，當犢鼻下3寸，距脛骨前緣一橫指（中指）。（附圖53）,取雙側穴位，用毫針直刺1.5~2寸，得氣後施以提插捻轉強刺激手法，使患者出現酸、麻、重、脹感覺，留針30分鐘，每5分鐘捻針1次，每日或隔日針刺1次。,（1）足三里為足陽明胃經的合穴，合穴主治臟腑之病，胃經與脾經相表裡，針刺足三里可疏通胃經，調節胃脾功能。足陽明胃經氣血充盈，針刺本穴可行氣活血。《四總穴歌》中說：“肚腹三里留。”所謂“肚腹”指胃腸、脾、肝、膽等臟腑。 （2）足三里是增強人體免疫功能的重要穴位，為全身強壯要穴之一。 （3）足陽明胃經循行自頭至足，經過頭面、頸、胸、心、肺、肝、胃、腸、下肢等部位，故足三里能治療足陽明胃經循行部位的疾病，如頭痛、眼花、耳鳴、面癱、顳頜關節紊亂症、牙痛、喉痺、乳痛、半身不遂、髖骨痛、下肢風溼病、痿痺、膝腫膝痛、腳痛、咳嗽、氣喘痰喘、心悸、失眠等病證。,,此為臟腑別通及經絡循行組成的對針。心包絡與胃臟腑別通，故針刺內關能治療消化系統病變，若深刺透達三焦經之絡穴外關，則調理氣血的作用更佳。足三里為足陽明胃經的合穴，善於調理胃脾功能。胃經與大腸經相表裡，本穴亦善治腹部病變。兩穴合用，主治病證很多，治療腹部病變尤效。,腹二針,49
總綱,,7,下腹二針,公孫,在足內側緣，當第1蹠骨基底的前下方。（附圖10）,正坐或仰臥取穴，針尖向腳掌心進針1寸，行提插手法，囑患者深呼吸，同時揉摩腹部，留針30分鐘，每5分鐘運針1次，仍行提插手法，囑患者深呼吸並輕揉腹部。,"(1) 公孫穴為足太陰脾經的絡穴, 別走足陽明胃經, 脾經胃經相表裡, 刺一絡可治兩經病, 本穴是治療脾胃病之要穴, 也可以治療腹部病證。 （2）據筆者研究針刺公孫穴可鑑別下腹痛是功能性還是器質性：如果針後痛止，則為功能性病變；若出針後不久疼痛復起，多為器質性病變。",,此為經絡配伍之特效對針。公孫為足太陰脾經的絡穴，別走足陽明胃經，脾經胃經相表裡，公孫為治療脾胃病之要穴。三陰交是治療消化系統病證和泌尿生殖系統病證之要穴。下腹部病變常為消化系統病證和泌尿生殖系統病證。公孫配三陰交是治療下腹部病證的特效對針，稱為“下腹二針”。,下腹二針,51
總綱,,7,下腹二針,三陰交,在小腿內側，當足內踝尖上3寸，脛骨內側緣後方。（附圖55）,用毫針直刺1.5寸，用提插捻轉手法行瀉法，留針30分鐘，每5分鐘運針1次，運針時囑患者按摩小腹或提肛，以引針氣。,三陰交為足太陰脾經穴，治療脾經之病證療效甚佳。亦為脾、肝、腎三條陰經的交會穴，脾主氣，肝主血，腎主生殖、發育和二陰，故針刺本穴能疏肝祛風、健脾益氣、補腎祛寒。本穴是治療消化系統病證和泌尿生殖系統病證的常用要穴。針刺本穴有行氣活血、通經化瘀、調整機體之效，本穴尤善調陰血，可使氣血下行。,,此為經絡配伍之特效對針。公孫為足太陰脾經的絡穴，別走足陽明胃經，脾經胃經相表裡，公孫為治療脾胃病之要穴。三陰交是治療消化系統病證和泌尿生殖系統病證之要穴。下腹部病變常為消化系統病證和泌尿生殖系統病證。公孫配三陰交是治療下腹部病證的特效對針，稱為“下腹二針”。,下腹二針,51
總綱,,8,提神二針,鼻翼穴,當鼻翼上端之溝陷中。(附圖 60),針刺深度2分。針入後囑患者每幾分鐘活動眼部提神，留針30分鐘，每隔10分鐘捻針1次，捻針時活動眼部提神。,（1）疲勞嗜睡者多為陽虛，本穴位於督脈循行線路上，在手足陽明經之間，能調節氣血，具有很好的溫陽作用。 （2）諸陽經皆上行於頭面部，鼻子在面部最為突出，為面部最高點，為陽中之陽，溫陽理氣作用甚強，治疲勞甚效。 （3）從面部太極全息觀之，鼻對應脾胃處，故鼻翼穴可理氣、健脾，可治療脾虛溼盛導致的睏乏症狀，本穴有消除疲勞之效。 （4）鼻翼穴與肺、脾、腎相應，故能調氣以治療氣虛、氣滯之證。由於脾主四肢，腎為作強之官，因此本穴還可以補腎、提神。,images/圖10-26_鼻翼穴.jpg,這是健脾與溫陽穴位組成的特效對針。疲乏嗜睡，睏倦無力，大多因陽氣不足或脾虛溼盛所致。針刺鼻翼可迅速振奮陽氣，針刺三叉三穴可脾腎雙補，兼升提肺氣，兩穴配伍不僅能緩解疲勞，還能迅速提神醒腦，稱為“嗜睡二針”，又稱“倦二針”。,提神二針,52
總綱,,8,提神二針,三叉三穴,在手背，第4、第5指指縫（歧骨）間陷中為液門穴，旁邊筋下骨旁為三叉三穴。（附圖61）,握拳取穴，避開可見淺靜脈，沿筋下貼骨間隙進針1~1.5寸，區域性可有酸、麻、重脹感，稍微活動眼部提神，留針30分鐘，每5~10分鐘捻針1次，捻針時活動眼部提神。,（1）根據太極對應，三叉三穴與五官的水平位置相對應，所以說三叉三是治療五官疾病的重要穴位。 （2）本穴在掌八卦位於坤卦位置，坤主脾，故本穴能補脾益氣祛溼，可以治療脾虛有溼導致的疲勞和嗜睡。 （3）本穴位於手背第4指與第5指間，但尤貼近第4指間。從骨下筋旁進針，即貼筋貼骨進針，故能肝腎並治。 （4）本穴若透過中白（中渚）、下白穴等穴，能健脾益氣。三叉三位於三焦經，透過三焦與腎通，故能補腎。 （5）本穴脾、肝、腎皆治，又能增加免疫功能，主治眼皮下垂、眼皮沉重、嗜睡等，是提神和治療疲勞的效穴。,,這是健脾與溫陽穴位組成的特效對針。疲乏嗜睡，睏倦無力，大多因陽氣不足或脾虛溼盛所致。針刺鼻翼可迅速振奮陽氣，針刺三叉三穴可脾腎雙補，兼升提肺氣，兩穴配伍不僅能緩解疲勞，還能迅速提神醒腦，稱為“嗜睡二針”，又稱“倦二針”。,提神二針,52
總綱,,9,疑難雜症二針 A,四花中穴,四花上穴直下4.5寸。四花上穴當外膝眼下方3寸，在脛骨前肌與趾長伸肌起始部之間。（附圖54）,三稜針點刺出血，但宜離脛骨稍遠（5分左右）。,"(1) 本穴為胃經腧穴, 在上巨虛 (大腸經下合穴) 與下巨虛 (小腸經下合穴) 之間, 又在小腿之中點, 不論穴性還是穴位, 皆在中央, 調理腸胃作用較強。三稜針點刺四花中穴能治療腸胃病, 如急性胃痛、急性胃腸炎、慢性胃病等。 (2) 本穴在小腿上, 調理脾胃作用甚強, 能令母實, 亦能生金, 還可治療肺病。胃與心包絡通, 故本穴治療心臟病甚效。三稜針點刺四花中能治療胸痛、心肌炎、心臟血管硬化、心臟停搏、哮喘、肺積水、肺結核、肺瘤、肺氣腫等病。 (3) 毫針刺本穴可治療肩胛痛、肘彎痛、食指痛、眼球痛等。",images/圖7-12_四花中穴.jpg,此為治痰及活血效穴配伍組成的對穴。中醫學認為“久病必有瘀，怪病必有痰”，逢久治不愈之疑難雜病，常因痰瘀交織，四花中穴、四花外穴並用刺血，是痰瘀並治之法，兩穴配合常能收到意外之效。,疑難雜症二針,53
總綱,,9,疑難雜症二針 A,四花外穴,在四花中穴向外橫開 1.5 寸。(附圖 54),用三稜針點刺出血。,（1）四花外穴距四花中穴 1.5 寸。約當豐隆穴旁，功同豐隆穴，本穴為胃經絡穴。因“痰會豐隆”，故本穴亦能清降痰濁。痰為水液消化障礙導致的病理產物，為致病的重要因素，針刺本穴可調理脾胃氣機，使氣行津布，中土得運則痰溼自化。凡與痰有關的病證，如嘔吐、咳嗽、哮喘、納呆、腫塊、麻木、半身不遂、頭痛、頭暈、心悸、神昏、癲狂、喉痺、喉暗等，刺本穴皆有效果，刺血治療效 果更佳。 （2）中醫學理論認為“久病必有瘀、難病必有瘀、怪病必有瘀”，又認為“久病必有痰、難病必有痰、怪病必有痰”。本穴接近豐隆穴，故針刺本穴能化痰。以三稜針在本穴處點刺出血，既能活血，又能痰瘀並治，專治各種疑難雜病，與四花中穴並用療效甚佳。 （3）本穴對於側身各種病變皆有特效。如上述之偏頭痛、耳痛、慢性鼻炎、肩臂痛、胸痛、脅肋痛、胸膜痛、坐骨神經痛、足跗痛等。此外在本穴附近點刺出血對高血壓、急性胃腸炎、哮喘等有均效果。 （4）刺血時不必拘於固定穴位，在四花外穴周圍上下2寸內之暗影或青筋處點刺出血即可見效。,images/圖7-17_四花外穴.jpg,此為治痰及活血效穴配伍組成的對穴。中醫學認為“久病必有瘀，怪病必有痰”，逢久治不愈之疑難雜病，常因痰瘀交織，四花中穴、四花外穴並用刺血，是痰瘀並治之法，兩穴配合常能收到意外之效。,疑難雜症二針,53
總綱,,10,疑難雜症二針 B,尺澤,在肘橫紋上，肱二頭肌腱橈側凹陷處。（附圖1）,手臂平伸，手掌向上，前臂略向上使肘屈，從肘窩橫紋之外側，試以大指按穴處，前臂稍屈時即有大筋凸起，筋外側有大靜脈一條，在靜脈外側凹陷處取穴。直刺，從掌側面向背側面刺入，深度3~5分，於周邊青筋或暗影處點刺出血效果更佳。,尺澤為手太陰肺經之合水穴，主治病證很多。,,"此為兩個合穴上下陰陽相配組成的對穴。尺澤刺血可治療咳嗽、氣喘、胸悶、胸痛、心臟病變、急性扁桃體炎、咽喉腫痛、鼻衄、肺結核、咯血、狂躁型精神病、高血壓、急性胃炎、急性胃腸炎、肩臂疼痛、手腕疼痛等。針刺尺澤能治療尿意頻數、風火牙痛、腎虛牙痛、半身不遂、肩關節周圍炎、肱骨外上髁炎、膝關節痛等，治療範圍遍及肺、心、胃、腎臟。委中能治療膀胱經所行之處的病證，包括後頭、頸部、背部、腰臀、後腿、腳踝、腳跟等都有效。毫針直刺和三稜針點刺出血皆有療效。 筆者按:《靈樞·順氣一日分為四時》中說:“經滿而血者病在胃,及以飲食不節得病者,取之於合,故命曰味主合,是謂五變也。”《靈樞·四時氣》中說:“病在腑取之合。”兩穴皆為合穴,皆適合點刺放血,古人用合穴刺血治療多種病證。尺澤為陰開,委中為陽開。許多雜病皆為陰陽不調之寒熱錯雜證,如霍亂吐瀉(寒熱錯雜)等。尺澤及委中刺血之血量應視病情而定,一般為1~5ml,血色濃黑者以轉紅為度。對於體質素虛、久病體衰、孕婦、貧血、虛脫、失血、易於出血的患者應慎用。",疑難雜症二針,53
總綱,,10,疑難雜症二針 B,委中,在膕橫紋中點，當股二頭肌腱與半腱肌肌腱的中間。（附圖52）,用三稜針點刺患側，如兩側鎖口療即刺兩側，使血自流或擠出血。,"(1) 委中為足太陽膀胱經之合穴, 足太陽膀胱經從頭至足, 膀胱經直行經脈夾行脊柱兩側, 直達腰部, 沿膂內深入內腔聯絡腎臟入膀胱, 復從腰部分出, 夾脊柱穿過臀部直下膕窩中。另一支經過肩胛夾脊柱下行過髀樞部, 沿大腿外側後緣下行, 與前支匯合於委中穴。委中穴位於兩條支脈的交合處, 有疏調經氣、強腰健膝的作用。故根據 “經脈所過, 主治所及” 的循經取穴規律, 本穴刺血能治療膀胱經所行之處的病證, 如後頭、頸部、背部、腰臀、後腿、腳踝、腳跟等處。毫針直刺或點刺出血皆可。 (2) 古醫書中有 “腰背委中求” 一句, 是指凡腰背部病證皆可取委中治療, 委 中是治療腰背痛的主穴。對於急性腰扭傷所致的腰痛，刺委中浮絡甚效。 (3) 委中穴是膀胱經之合穴, 是四總穴之一。委中穴, 又名郄中, 足太陽經為少氣多血之經, 本穴是刺血較為理想的穴位, 具有舒筋通絡、散瘀活血定痛、清熱解毒等作用, 點刺出血, 既能洩血分之熱邪, 清熱利溼除風疹, 又能疏洩陽邪火毒, 除血分積熱, 解毒祛瘀。楊繼洲用本穴治療丹毒、癰疽甚效。《醫宗金鑑》中指出本穴可治療流注。 （4）委中穴刺絡出血可疏通太陽經氣，洩臟腑裡熱，可治療傷暑、霍亂、吐瀉。 （5）此外，臨床上針刺委中還可以治療下肢痿弱、偏枯、酸楚、腫痛以及小腿拘急痙攣等病證。 （6）本穴能舒筋活血蠲痺痛。筆者常以委中刺血治坐骨神經痛、腰痛、項強、下肢風溼痛、痔瘡等。",,"此為兩個合穴上下陰陽相配組成的對穴。尺澤刺血可治療咳嗽、氣喘、胸悶、胸痛、心臟病變、急性扁桃體炎、咽喉腫痛、鼻衄、肺結核、咯血、狂躁型精神病、高血壓、急性胃炎、急性胃腸炎、肩臂疼痛、手腕疼痛等。針刺尺澤能治療尿意頻數、風火牙痛、腎虛牙痛、半身不遂、肩關節周圍炎、肱骨外上髁炎、膝關節痛等，治療範圍遍及肺、心、胃、腎臟。委中能治療膀胱經所行之處的病證，包括後頭、頸部、背部、腰臀、後腿、腳踝、腳跟等都有效。毫針直刺和三稜針點刺出血皆有療效。 筆者按:《靈樞·順氣一日分為四時》中說:“經滿而血者病在胃,及以飲食不節得病者,取之於合,故命曰味主合,是謂五變也。”《靈樞·四時氣》中說:“病在腑取之合。”兩穴皆為合穴,皆適合點刺放血,古人用合穴刺血治療多種病證。尺澤為陰開,委中為陽開。許多雜病皆為陰陽不調之寒熱錯雜證,如霍亂吐瀉(寒熱錯雜)等。尺澤及委中刺血之血量應視病情而定,一般為1~5ml,血色濃黑者以轉紅為度。對於體質素虛、久病體衰、孕婦、貧血、虛脫、失血、易於出血的患者應慎用。",疑難雜症二針,53
總綱,,11,解毒二針,分枝上穴,在肩峰突起後側直下腋縫中，當肩胛關節下1寸處是穴。（附圖34）,針刺深度 1~1.5 寸。,本穴穴名分枝，“分”與內分泌有關，董師認為本穴能治療藥物中毒（輕則可治，重則難醫）、蛇毒、蠍毒、蜈蚣毒、狐臭、口臭、糖尿病、瘋狗咬傷、小便痛、血淋、淋病、食物中毒、全身發癢、煤氣中毒、放射中毒等。筆者認為本穴還可治療小兒特應性皮炎以及化療、放療後遺症。,images/圖11-2_分枝上穴.jpg,此為兩個解毒效穴組成的特效對針。分枝下穴當肩貞穴旁，為小腸脈氣所發，有泌別清濁、利尿利溼之作用，還有疏利三焦，調整內分泌，增強免疫功能的作用。兩穴並用，治療食物中毒、藥物中毒及各種毒蟲咬傷有特殊作用。,解毒二針,57
